sub_id,shortest_path,startpoint_id,endpoint_id,opt1_id,opt2_id,correct_choice,opt1_distance,opt2_distance,softmax_temperature,p_choose_opt1,simulated_choice
465,3,8,13,9,1,9,3,8,-3.6237622518092394,0.9999999864761531,9
465,3,8,13,10,1,10,3,8,-3.6237622518092394,0.9999999864761531,10
465,3,9,2,8,11,8,3,6,-3.6237622518092394,0.999981004448754,8
465,3,10,2,8,12,8,3,6,-3.6237622518092394,0.999981004448754,8
465,3,11,1,9,12,9,3,4,-3.6237622518092394,0.9740113297369076,9
465,3,11,1,9,13,9,3,5,-3.6237622518092394,0.9992885718895153,9
465,3,12,1,10,11,10,3,4,-3.6237622518092394,0.9740113297369076,10
465,3,12,1,10,13,10,3,5,-3.6237622518092394,0.9992885718895153,10
465,4,1,7,2,8,2,4,8,-3.6237622518092394,0.9999994931493811,2
465,4,1,13,8,2,8,4,8,-3.6237622518092394,0.9999994931493811,8
465,4,2,11,1,3,1,4,8,-3.6237622518092394,0.9999994931493811,1
465,4,2,11,1,4,1,4,8,-3.6237622518092394,0.9999994931493811,1
465,4,2,12,1,3,1,4,8,-3.6237622518092394,0.9999994931493811,1
465,4,2,12,1,4,1,4,8,-3.6237622518092394,0.9999994931493811,1
465,4,3,9,2,4,2,4,5,-3.6237622518092394,0.9740113297369077,2
465,4,3,9,2,5,2,4,6,-3.6237622518092394,0.9992885718895151,2
465,4,3,10,2,4,2,4,5,-3.6237622518092394,0.9740113297369077,2
465,4,3,10,2,5,2,4,6,-3.6237622518092394,0.9992885718895151,2
465,4,4,9,2,3,2,4,5,-3.6237622518092394,0.9740113297369077,2
465,4,4,9,2,5,2,4,6,-3.6237622518092394,0.9992885718895151,2
465,4,4,9,2,6,2,4,8,-3.6237622518092394,0.9999994931493811,2
465,4,4,10,2,3,2,4,5,-3.6237622518092394,0.9740113297369077,2
465,4,4,10,2,5,2,4,6,-3.6237622518092394,0.9992885718895151,2
465,4,4,10,2,6,2,4,8,-3.6237622518092394,0.9999994931493811,2
465,4,5,8,3,7,3,4,6,-3.6237622518092394,0.9992885718895151,3
465,4,5,8,4,7,4,4,6,-3.6237622518092394,0.9992885718895151,4
465,4,6,8,4,7,4,4,6,-3.6237622518092394,0.9992885718895151,4
465,4,8,5,1,9,1,4,8,-3.6237622518092394,0.9999994931493811,1
465,4,8,5,1,10,1,4,8,-3.6237622518092394,0.9999994931493811,1
465,4,8,6,1,9,1,4,8,-3.6237622518092394,0.9999994931493811,1
465,4,8,6,1,10,1,4,8,-3.6237622518092394,0.9999994931493811,1
465,4,9,3,8,11,8,4,7,-3.6237622518092394,0.9999810044487539,8
465,4,9,4,8,11,8,4,7,-3.6237622518092394,0.9999810044487539,8
465,4,10,3,8,12,8,4,7,-3.6237622518092394,0.9999810044487539,8
465,4,10,4,8,12,8,4,7,-3.6237622518092394,0.9999810044487539,8
465,4,11,2,9,12,9,4,5,-3.6237622518092394,0.9740113297369077,9
465,4,11,2,9,13,9,4,6,-3.6237622518092394,0.9992885718895151,9
465,4,12,2,10,11,10,4,5,-3.6237622518092394,0.9740113297369077,10
465,4,12,2,10,13,10,4,6,-3.6237622518092394,0.9992885718895151,10
466,2,1,3,2,8,2,2,8,-1.0165299219079316,0.9977603187548872,2
466,2,1,4,2,8,2,2,8,-1.0165299219079316,0.9977603187548872,2
466,2,1,9,8,2,8,2,8,-1.0165299219079316,0.9977603187548872,8
466,2,1,10,8,2,8,2,8,-1.0165299219079316,0.9977603187548872,8
466,2,2,5,3,1,3,2,8,-1.0165299219079316,0.9977603187548872,3
466,2,2,5,4,1,4,2,8,-1.0165299219079316,0.9977603187548872,4
466,2,2,6,4,1,4,2,8,-1.0165299219079316,0.9977603187548872,4
466,2,2,6,4,3,4,2,3,-1.0165299219079316,0.7342961194152706,3
466,2,2,8,1,3,1,2,8,-1.0165299219079316,0.9977603187548872,1
466,2,2,8,1,4,1,2,8,-1.0165299219079316,0.9977603187548872,1
466,2,3,1,2,4,2,2,3,-1.0165299219079316,0.7342961194152706,2
466,2,3,1,2,5,2,2,4,-1.0165299219079316,0.8842246868508028,2
466,2,3,6,4,2,4,2,3,-1.0165299219079316,0.7342961194152706,4
466,2,3,6,4,5,4,2,3,-1.0165299219079316,0.7342961194152706,4
466,2,3,7,5,2,5,2,4,-1.0165299219079316,0.8842246868508028,2
466,2,3,7,5,4,5,2,3,-1.0165299219079316,0.7342961194152706,5
466,2,4,1,2,3,2,2,3,-1.0165299219079316,0.7342961194152706,2
466,2,4,1,2,5,2,2,4,-1.0165299219079316,0.8842246868508028,2
466,2,4,1,2,6,2,2,6,-1.0165299219079316,0.9831451726583756,2
466,2,4,7,5,2,5,2,4,-1.0165299219079316,0.8842246868508028,5
466,2,4,7,5,3,5,2,3,-1.0165299219079316,0.7342961194152706,5
466,2,4,7,6,2,6,2,4,-1.0165299219079316,0.8842246868508028,6
