sub_id,node_id,node_name,node_race,node_gender,node_stim
22,1,Anna,asian,female,CFD-AF-227-207-N
22,2,Leah,black,female,CFD-BF-226-119-N
22,3,Daniel,white,male,CFD-WM-239-128-N
22,4,Kayla,black,female,CFD-BF-216-132-N
22,5,Lucas,asian,male,CFD-AM-220-134-N
22,6,Andrew,latine,male,CFD-LM-243-075-N
22,7,Aiden,latine,male,CFD-LM-214-165-N
22,8,Joshua,black,male,CFD-BM-200-046-N
22,9,Emma,latine,female,CFD-LF-252-172-N
22,10,Amari,black,male,CFD-BM-246-192-N
22,11,Sophia,latine,female,CFD-LF-230-203-N
22,12,Andy,asian,male,CFD-AM-202-079-N
22,13,Elaine,asian,female,CFD-AF-247-278-N
23,1,Ethan,latine,male,CFD-LM-212-143-N
23,2,Samuel,white,male,CFD-WM-210-057-N
23,3,Kevin,asian,male,CFD-AM-244-222-N
23,4,Jayden,black,male,CFD-BM-246-192-N
23,5,Jacob,latine,male,CFD-LM-243-075-N
23,6,Chloe,asian,female,CFD-AF-247-278-N
23,7,Arianna,black,female,CFD-BF-235-168-N
23,8,Makayla,black,female,CFD-BF-247-179-N
23,9,Fiona,asian,female,CFD-AF-229-160-N
23,10,Ashley,latine,female,CFD-LF-232-199-N
23,11,Michael,black,male,CFD-BM-207-024-N
23,12,Melanie,latine,female,CFD-LF-210-220-N
23,13,Dylan,asian,male,CFD-AM-225-102-N
24,1,Kimberly,latine,female,CFD-LF-234-139-N
24,2,Jasmine,asian,female,CFD-AF-222-134-N
24,3,Joseph,white,male,CFD-WM-214-026-N
24,4,Alice,asian,female,CFD-AF-256-160-N
24,5,Andrew,latine,male,CFD-LM-244-068-N
24,6,Amy,latine,female,CFD-LF-214-090-N
24,7,Brianna,black,female,CFD-BF-241-222-N
24,8,David,black,male,CFD-BM-239-136-N
24,9,Alex,asian,male,CFD-AM-229-224-N
24,10,Ryan,latine,male,CFD-LM-247-095-N
24,11,Savannah,black,female,CFD-BF-201-080-N
24,12,Kevin,asian,male,CFD-AM-211-052-N
24,13,Amir,black,male,CFD-BM-214-075-N
25,1,Aiden,black,male,CFD-BM-247-240-N
25,2,Anthony,black,male,CFD-BM-201-077-N
25,3,Arianna,black,female,CFD-BF-241-222-N
25,4,Mia,asian,female,CFD-AF-217-155-N
25,5,Amy,latine,female,CFD-LF-206-078-N
25,6,Lucas,latine,male,CFD-LM-225-130-N
25,7,Ethan,asian,male,CFD-AM-242-176-N
25,8,Madison,latine,female,CFD-LF-210-220-N
25,9,Kayla,black,female,CFD-BF-217-189-N
25,10,David,white,male,CFD-WM-253-119-N
25,11,Nicole,asian,female,CFD-AF-203-077-N
25,12,Andy,asian,male,CFD-AM-225-102-N
25,13,Jose,latine,male,CFD-LM-238-129-N
26,1,Brandon,black,male,CFD-BM-247-240-N
26,2,Jeremiah,black,male,CFD-BM-207-024-N
26,3,Matthew,latine,male,CFD-LM-247-095-N
26,4,Jose,latine,male,CFD-LM-244-068-N
26,5,Joseph,white,male,CFD-WM-200-034-N
26,6,Joanna,asian,female,CFD-AF-235-170-N
26,7,Alyssa,asian,female,CFD-AF-250-200-N
26,8,Zoe,black,female,CFD-BF-222-240-N
26,9,Kyle,asian,male,CFD-AM-250-149-N
26,10,Serenity,black,female,CFD-BF-216-132-N
26,11,Madison,latine,female,CFD-LF-223-064-N
26,12,Eric,asian,male,CFD-AM-251-124-N
26,13,Hailey,latine,female,CFD-LF-208-127-N
27,1,Zoe,black,female,CFD-BF-232-187-N
27,2,Chelsea,black,female,CFD-BF-223-250-N
27,3,Ethan,latine,male,CFD-LM-247-095-N
27,4,Anna,asian,female,CFD-AF-233-190-N
27,5,Christian,latine,male,CFD-LM-200-045-N
27,6,Fiona,asian,female,CFD-AF-240-206-N
27,7,Madison,latine,female,CFD-LF-225-164-N
27,8,Alexander,white,male,CFD-WM-200-034-N
27,9,Evan,asian,male,CFD-AM-229-224-N
27,10,Aaron,asian,male,CFD-AM-204-122-N
27,11,Xavier,black,male,CFD-BM-226-276-N
27,12,Mason,black,male,CFD-BM-237-188-N
27,13,Abigail,latine,female,CFD-LF-244-096-N
28,1,Tyler,black,male,CFD-BM-201-077-N
28,2,Lucas,asian,male,CFD-AM-209-048-N
28,3,James,white,male,CFD-WM-230-131-N
28,4,Mia,latine,female,CFD-LF-239-148-N
28,5,Angelina,asian,female,CFD-AF-247-278-N
28,6,Nyla,black,female,CFD-BF-201-080-N
28,7,Mason,black,male,CFD-BM-237-188-N
28,8,David,latine,male,CFD-LM-239-075-N
28,9,Vivian,asian,female,CFD-AF-203-077-N
28,10,Andrew,asian,male,CFD-AM-250-149-N
28,11,Amy,latine,female,CFD-LF-250-169-N
28,12,Aiden,latine,male,CFD-LM-252-076-N
28,13,Zoe,black,female,CFD-BF-217-189-N
29,1,Kimberly,latine,female,CFD-LF-229-164-N
29,2,Jacob,latine,male,CFD-LM-223-175-N
29,3,Dylan,white,male,CFD-WM-200-034-N
29,4,Aaliyah,black,female,CFD-BF-249-091-N
29,5,Mia,latine,female,CFD-LF-213-079-N
29,6,Ryan,asian,male,CFD-AM-220-134-N
29,7,Alvin,asian,male,CFD-AM-252-114-N
